time,d1,d2,d3,d4,d5,d6
5,0, 0, 0, 0, 0, 0
10,0, 0, 0, 0, 0, 0
15,0, 0, 0, 0, 0, 0
20,0, 0, 0, 0, 0, 0
25,0, 0, 0, 0, 0, 0
30,0, 0, 0, 0, 0, 0
35,0, 0, 0, 0, 0, 0
40,0, 0, 0, 0, 0, 0
45,0, 0, 0, 0, 0, 0
50,0, 0, 0, 0, 0, 0
55,0, 0, 0, 0, 0, 0
60,0, 0, 0, 0, 0, 0
65,0, 0, 0, 0, 0, 0
70,0, 0, 0, 0, 0, 0
75,0, 0, 0, 0, 0, 0
80,0, 0, 0, 0, 0, 0
85,0, 0, 0, 0, 0, 0
90,0, 0, 0, 0, 0, 0
95,0, 0, 0, 0, 0, 0
100,0, 0, 0, 0, 0, 0
105,0, 0, 0, 0, 0, 0
110,0, 0, 0, 0, 0, 0
115,0, 0, 0, 0, 0, 0
120,0, 0, 0, 0, 0, 0
125,0, 0, 0, 0, 0, 0
130,0, 0, 0, 0, 0, 0
135,0, 0, 0, 0, 0, 0
140,0, 0, 0, 0, 0, 0
145,0, 0, 0, 0, 0, 0
150,0, 0, 0, 0, 0, 0
155,0, 0, 0, 0, 0, 0
160,0, 0, 0, 0, 0, 0
165,0, 0, 0, 0, 0, 0
170,0, 0, 0, 0, 0, 0
175,0, 0, 0, 0, 0, 0
180,0, 0, 0, 0, 0, 0
185,0, 0, 0, 0, 0, 0
190,0, 0, 0, 0, 0, 0
195,0, 0, 0, 0, 0, 0
200,0, 0, 0, 0, 0, 0
205,0, 0, 0, 0, 0, 0
210,0, 0, 0, 0, 0, 0
215,0, 0, 0, 0, 0, 0
220,0, 0, 0, 0, 0, 0
225,0, 0, 0, 0, 0, 0
230,0, 0, 0, 0, 0, 0
235,0, 0, 0, 0, 0, 0
240,0, 0, 0, 0, 0, 0
245,0, 0, 0, 0, 0, 0
250,0, 0, 0, 0, 0, 0
255,0, 0, 0, 0, 0, 0
260,0, 0, 0, 0, 0, 1.51051e-05
265,0, 0, 0, 0, 0, 7.97443e-05
270,0, 0, 0, 0, 0, 0.000146457
